Tree node ID,Tree node label,Color,Label
Alphaarterivirus,Alphaarterivirus,,
Gammaarterivirus,Gammaarterivirus,,
Iflavirus,Iflavirus,,
Unclass. Iflaviridae,Unclass. Iflaviridae,,
Unclass. Polycipiviridae,Unclass. Polycipiviridae,,
Sopolycivirus,Sopolycivirus,,
Husavirus,Husavirus,,
Unclass. Picornavirales G,Unclass. Picornavirales G,,
Posavirus,Posavirus,,
Unclass. Marnaviridae,Unclass. Marnaviridae,,
Marnavirus,Marnavirus,,
Bacillarnavirus,Bacillarnavirus,,
Invictavirus,Invictavirus,,
Nyfulvavirus,Nyfulvavirus,,
Unclass. Solinviviridae,Unclass. Solinviviridae,,
Triatovirus,Triatovirus,,
Unclass. Dicistroviridae,Unclass. Dicistroviridae,,
Cripavirus,Cripavirus,,
Aparavirus,Aparavirus,,
Fabavirus,Fabavirus,,
Comovirus,Comovirus,,
Torradovirus,Torradovirus,,
Nepovirus,Nepovirus,,
Cheravirus,Cheravirus,,
Sadwavirus,Sadwavirus,,
Unclass. Secoviridae,Unclass. Secoviridae,,
Waikavirus,Waikavirus,,
Sequivirus,Sequivirus,,
Lagovirus,Lagovirus,,
Vesivirus,Vesivirus,,
Nebovirus,Nebovirus,,
Norovirus,Norovirus,,
Sapovirus,Sapovirus,,
Unclass. Caliciviridae,Unclass. Caliciviridae,,
Salovirus,Salovirus,,
Recovirus,Recovirus,,
Bavovirus,Bavovirus,,
Enterovirus,Enterovirus,,
Kobuvirus,Kobuvirus,,
Megrivirus,Megrivirus,,
Aphthovirus,Aphthovirus,,
Hepatovirus,Hepatovirus,,
Parechovirus,Parechovirus,,
Senecavirus,Senecavirus,,
Sapelovirus,Sapelovirus,,
Livupivirus,Livupivirus,,
Rabovirus,Rabovirus,,
Avihepatovirus,Avihepatovirus,,
Unclass. Picornaviridae,Unclass. Picornaviridae,,
Erbovirus,Erbovirus,,
Tremovirus,Tremovirus,,
Avisivirus,Avisivirus,,
Cardiovirus,Cardiovirus,,
Cosavirus,Cosavirus,,
Salivirus,Salivirus,,
Mosavirus,Mosavirus,,
Torchivirus,Torchivirus,,
Mischivirus,Mischivirus,,
Sicinivirus,Sicinivirus,,
Pasivirus,Pasivirus,,
Limnipivirus,Limnipivirus,,
Rosavirus,Rosavirus,,
Oscivirus,Oscivirus,,
Harkavirus,Harkavirus,,
Dicipivirus,Dicipivirus,,
Aalivirus,Aalivirus,,
Poecivirus,Poecivirus,,
Shanbavirus,Shanbavirus,,
Teschovirus,Teschovirus,,
Hunnivirus,Hunnivirus,,
Gallivirus,Gallivirus,,
Passerivirus,Passerivirus,,
Bopivirus,Bopivirus,,
Potamipivirus,Potamipivirus,,
