,Tree node ID,Tree node label,palmdb_sp_count,ncbi_sp_count,palmdb_sp_count_log,ncbi_sp_count_log,palmdb_sp_count_log-ncbi_sp_count_log
104,Alphacarmovirus,Alphacarmovirus,56,8,4.02535169073515,2.0794415416798357,1.945910149055314
105,Unclass. Tombusviridae,Unclass. Tombusviridae,1930,NA,7.5652752818989315,0.0,7.5652752818989315
106,Dianthovirus,Dianthovirus,24,3,3.1780538303479458,1.0986122886681098,2.079441541679836
107,Panicovirus,Panicovirus,37,4,3.6109179126442243,1.3862943611198906,2.224623551524334
108,Unclass. Alsuviricetes G,Unclass. Alsuviricetes G,1321,NA,7.186144304522325,0.0,7.186144304522325
109,Unclass. Hepelivirales G,Unclass. Hepelivirales G,53,NA,3.970291913552122,0.0,3.970291913552122
110,Unclass. Benyviridae,Unclass. Benyviridae,17,NA,2.833213344056216,0.0,2.833213344056216
111,Benyvirus,Benyvirus,10,4,2.302585092994046,1.3862943611198906,0.9162907318741553
112,Unclass. Matonaviridae,Unclass. Matonaviridae,1,NA,0.0,0.0,0.0
113,Rubivirus,Rubivirus,20,4,2.995732273553991,1.3862943611198906,1.6094379124341003
114,Omegatetravirus,Omegatetravirus,12,3,2.4849066497880004,1.0986122886681098,1.3862943611198906
115,Unclass. Alphatetraviridae,Unclass. Alphatetraviridae,10,NA,2.302585092994046,0.0,2.302585092994046
116,Orthohepevirus,Orthohepevirus,358,73,5.8805329864007,4.290459441148391,1.5900735452523094
117,Unclass. Hepeviridae,Unclass. Hepeviridae,60,NA,4.0943445622221,0.0,4.0943445622221
118,Piscihepevirus,Piscihepevirus,2,1,0.6931471805599453,0.0,0.6931471805599453
119,Unclass. Tymovirales G,Unclass. Tymovirales G,670,NA,6.507277712385012,0.0,6.507277712385012
120,Unclass. Deltaflexiviridae,Unclass. Deltaflexiviridae,207,NA,5.332718793265369,0.0,5.332718793265369
121,Deltaflexivirus,Deltaflexivirus,196,4,5.278114659230517,1.3862943611198906,3.891820298110626
122,Mycoflexivirus,Mycoflexivirus,13,1,2.5649493574615367,0.0,2.5649493574615367
123,Unclass. Gammaflexiviridae,Unclass. Gammaflexiviridae,32,NA,3.4657359027997265,0.0,3.4657359027997265
124,Tymovirus,Tymovirus,122,27,4.804021044733257,3.295836866004329,1.5081841787289276
125,Marafivirus,Marafivirus,427,14,6.056784013228625,2.6390573296152584,3.4177266836133664
126,Unclass. Tymoviridae,Unclass. Tymoviridae,265,NA,5.579729825986222,0.0,5.579729825986222
127,Maculavirus,Maculavirus,73,6,4.290459441148391,1.791759469228055,2.498699971920336
128,Potexvirus,Potexvirus,394,50,5.976350909297934,3.912023005428146,2.064327903869788
129,Sclerodarnavirus,Sclerodarnavirus,1,1,0.0,0.0,0.0
130,Unclass. Alphaflexiviridae,Unclass. Alphaflexiviridae,129,NA,4.859812404361672,0.0,4.859812404361672
131,Allexivirus,Allexivirus,179,13,5.187385805840755,2.5649493574615367,2.622436448379218
132,Platypuvirus,Platypuvirus,5,1,1.6094379124341003,0.0,1.6094379124341003
133,Mandarivirus,Mandarivirus,15,3,2.70805020110221,1.0986122886681098,1.6094379124341003
134,Robigovirus,Robigovirus,48,5,3.871201010907891,1.6094379124341003,2.261763098473791
135,Foveavirus,Foveavirus,575,13,6.354370040797351,2.5649493574615367,3.789420683335814
136,Tepovirus,Tepovirus,58,5,4.060443010546419,1.6094379124341003,2.4510050981123186
137,Carlavirus,Carlavirus,760,69,6.633318433280377,4.23410650459726,2.3992119286831173
138,Capillovirus,Capillovirus,212,6,5.356586274672012,1.791759469228055,3.5648268054439574
139,Vitivirus,Vitivirus,366,20,5.902633333401366,2.995732273553991,2.906901059847375
140,Unclass. Betaflexiviridae,Unclass. Betaflexiviridae,512,NA,6.238324625039508,0.0,6.238324625039508
141,Trichovirus,Trichovirus,287,10,5.659482215759621,2.302585092994046,3.3568971227655755
142,Divavirus,Divavirus,7,4,1.9459101490553132,1.3862943611198906,0.5596157879354227
143,Prunevirus,Prunevirus,9,4,2.1972245773362196,1.3862943611198906,0.810930216216329
144,Citrivirus,Citrivirus,101,1,4.61512051684126,0.0,4.61512051684126
145,Chordovirus,Chordovirus,13,3,2.5649493574615367,1.0986122886681098,1.466337068793427
146,Unclass. Martellivirales G,Unclass. Martellivirales G,773,NA,6.650279048587422,0.0,6.650279048587422
147,Unclass. Togaviridae,Unclass. Togaviridae,184,NA,5.214935757608986,0.0,5.214935757608986
