,u10 Ensembl ID,u10 weight,u102540 Ensembl ID,u102540 weight,u11150 Ensembl ID,u11150 weight,u202260 Ensembl ID,u202260 weight,u39566 Ensembl ID,u39566 weight,u134800 Ensembl ID,u134800 weight,u102324 Ensembl ID,u102324 weight
2030,ENSMMUG00000009327.4,-0.002007733367593246,ENSMMUG00000016106.4,-0.0019286658785200733,ENSMMUG00000000388.4,0.0,ENSMMUG00000015135.4,-0.11373156190869091,ENSMMUG00000044861.2,-0.04182010645322125,ENSMMUG00000049583.1,-0.056890294723126435,ENSMMUG00000061988.1,-0.09999021173775725
2031,ENSMMUG00000000330.4,-0.002007733367593246,ENSMMUG00000009057.4,-0.0020664157397118714,ENSMMUG00000000378.4,0.0,ENSMMUG00000061009.1,-0.11396890602709771,ENSMMUG00000051567.1,-0.04189770614088064,ENSMMUG00000010316.4,-0.057160177935416626,ENSMMUG00000000446.4,-0.10015572110607913
2032,ENSMMUG00000020082.4,-0.002040864193645168,ENSMMUG00000019515.4,-0.002071131209164921,ENSMMUG00000000332.4,0.0,ENSMMUG00000060609.1,-0.11399523620128803,ENSMMUG00000005217.4,-0.04199738579314146,ENSMMUG00000061076.1,-0.057219097394262446,ENSMMUG00000011955.4,-0.10029868678072971
2033,ENSMMUG00000005414.4,-0.002040864193645168,ENSMMUG00000011563.4,-0.00242811042132887,ENSMMUG00000000302.4,0.0,ENSMMUG00000022778.4,-0.11406958752376452,ENSMMUG00000001597.4,-0.042691011092475355,ENSMMUG00000053845.1,-0.05736757852406935,ENSMMUG00000015710.4,-0.10036514449992137
2034,ENSMMUG00000018688.4,-0.002076408297548554,ENSMMUG00000002593.4,-0.00256086434635593,ENSMMUG00000000288.4,0.0,ENSMMUG00000048316.2,-0.1147730369434961,ENSMMUG00000056618.1,-0.042861317801262344,ENSMMUG00000001880.4,-0.05753325136917312,ENSMMUG00000013485.4,-0.10039072741544063
2035,ENSMMUG00000063322.1,-0.002130358711370144,ENSMMUG00000038615.2,-0.0026183984727957766,ENSMMUG00000000268.4,0.0,ENSMMUG00000061396.1,-0.11542360385134193,ENSMMUG00000013180.4,-0.042981841929375895,ENSMMUG00000057655.1,-0.05797346495603572,ENSMMUG00000007552.4,-0.101257457291074
2036,ENSMMUG00000038944.2,-0.0021464795247897682,ENSMMUG00000020377.4,-0.0027102940444838396,ENSMMUG00000000262.4,0.0,ENSMMUG00000016578.4,-0.11544421213157646,ENSMMUG00000015332.4,-0.043234664922971774,ENSMMUG00000056166.1,-0.05888730212869701,ENSMMUG00000010241.4,-0.10183142243779146
2037,ENSMMUG00000009848.4,-0.0021464795247897682,ENSMMUG00000001248.4,-0.0027147721548523573,ENSMMUG00000000245.4,0.0,ENSMMUG00000022485.4,-0.11564657218379674,ENSMMUG00000064708.1,-0.04354015588460731,ENSMMUG00000002346.4,-0.05930908078288353,ENSMMUG00000055940.1,-0.10209988309807955
2038,ENSMMUG00000019262.4,-0.0022283294641993346,ENSMMUG00000061286.1,-0.0027728943680946127,ENSMMUG00000000192.4,0.0,ENSMMUG00000063689.1,-0.11580653586250216,ENSMMUG00000018539.4,-0.043566676857797464,ENSMMUG00000051944.1,-0.05971437246640823,ENSMMUG00000019653.4,-0.10210620974706468
2039,ENSMMUG00000031451.3,-0.0023299335445419664,ENSMMUG00000064872.1,-0.002804653027663688,ENSMMUG00000000153.4,0.0,ENSMMUG00000061986.1,-0.11595633308502504,ENSMMUG00000016812.4,-0.04359368871966177,ENSMMUG00000061514.1,-0.059779211479556914,ENSMMUG00000008872.4,-0.10221589254627642
2040,ENSMMUG00000002467.4,-0.00241798860923859,ENSMMUG00000013267.4,-0.0029274571966755275,ENSMMUG00000000151.4,0.0,ENSMMUG00000063665.1,-0.11802705330937815,ENSMMUG00000052338.1,-0.04363354345441821,ENSMMUG00000042504.2,-0.05998294764094775,ENSMMUG00000055614.1,-0.10231090951692655
2041,ENSMMUG00000064750.1,-0.002473615696547076,ENSMMUG00000002361.4,-0.0029274571966755275,ENSMMUG00000000130.4,0.0,ENSMMUG00000009111.4,-0.11811587191637966,ENSMMUG00000060734.1,-0.04410933226984905,ENSMMUG00000018177.4,-0.06016071060538687,ENSMMUG00000022922.4,-0.10236438937684983
2042,ENSMMUG00000050862.1,-0.002473615696547076,ENSMMUG00000000966.4,-0.0029274571966755275,ENSMMUG00000051334.1,-8.657732587924515e-05,ENSMMUG00000010393.4,-0.1182076648814047,ENSMMUG00000054532.1,-0.044263207687065174,ENSMMUG00000057474.1,-0.06046539974649448,ENSMMUG00000055481.1,-0.10236669570571864
2043,ENSMMUG00000015286.4,-0.0024894710423491472,ENSMMUG00000016731.4,-0.0030575541929565428,ENSMMUG00000002667.4,-9.145988365278788e-05,ENSMMUG00000014604.4,-0.11844989999627917,ENSMMUG00000045740.2,-0.04441051282875267,ENSMMUG00000050741.1,-0.06046651105637454,ENSMMUG00000021371.4,-0.10273027261162586
2044,ENSMMUG00000052363.1,-0.0025335310591514284,ENSMMUG00000054537.1,-0.003078458273703147,ENSMMUG00000055481.1,-0.00011304168457677795,ENSMMUG00000061926.1,-0.11855755103344412,ENSMMUG00000015002.4,-0.044901516845512905,ENSMMUG00000058181.1,-0.060566953101916066,ENSMMUG00000050774.1,-0.1028445007481323
2045,ENSMMUG00000001295.4,-0.0025808451544562594,ENSMMUG00000000145.4,-0.003085626131952324,ENSMMUG00000053563.1,-0.00011304168457677795,ENSMMUG00000061736.1,-0.1186562070452577,ENSMMUG00000064198.1,-0.04497787061816783,ENSMMUG00000012596.4,-0.06070532390986923,ENSMMUG00000057928.1,-0.10290966493286247
2046,ENSMMUG00000050440.1,-0.002626771459781321,ENSMMUG00000016043.4,-0.003089279543712583,ENSMMUG00000053237.1,-0.00011304168457677795,ENSMMUG00000060456.1,-0.11895950523805594,ENSMMUG00000057935.1,-0.04499453304781764,ENSMMUG00000052071.1,-0.06084005712004953,ENSMMUG00000060541.1,-0.10297118091946465
