count,virus
3.0,u122795
3.0,u98219
3.0,u240453
3.0,u240419
3.0,u77783
3.0,u172955
3.0,u41788
3.0,u33269
3.0,u155867
3.0,u89956
3.0,u33666
3.0,u33037
3.0,u31685
3.0,u138303
3.0,u295234
3.0,u138010
3.0,u158684
3.0,u161010
3.0,u138130
3.0,u219254
3.0,u93457
3.0,u93467
3.0,u138462
3.0,u133083
3.0,u63665
3.0,u11368
3.0,u3282
3.0,u12053
3.0,u94242
3.0,u162138
3.0,u91425
3.0,u158335
3.0,u262046
3.0,u84532
3.0,u286084
3.0,u30580
3.0,u137255
3.0,u46282
3.0,u247021
3.0,u247124
3.0,u36825
3.0,u199364
3.0,u214413
3.0,u260420
3.0,u160419
3.0,u135856
3.0,u74364
3.0,u261530
3.0,u286223
3.0,u223532
3.0,u137936
3.0,u199543
3.0,u261712
3.0,u220091
3.0,u132545
3.0,u265712
3.0,u18692
3.0,u157491
3.0,u121417
3.0,u36728
3.0,u8309
3.0,u139761
3.0,u75901
3.0,u140078
3.0,u166959
3.0,u211841
3.0,u212971
3.0,u76191
3.0,u195260
3.0,u167393
3.0,u228207
3.0,u265541
3.0,u258417
3.0,u96889
3.0,u96962
3.0,u207279
3.0,u196357
3.0,u130252
3.0,u243856
3.0,u132490
3.0,u95213
3.0,u48843
3.0,u196982
3.0,u39211
3.0,u139273
3.0,u43103
3.0,u42090
3.0,u165182
3.0,u95923
3.0,u165209
3.0,u285291
3.0,u42059
3.0,u73832
3.0,u243937
3.0,u37412
3.0,u96214
3.0,u37246
3.0,u30637
3.0,u121272
3.0,u237072
3.0,u39502
3.0,u102073
3.0,u209283
3.0,u181245
3.0,u115546
3.0,u253737
3.0,u273171
3.0,u209909
3.0,u70227
3.0,u37856
3.0,u32317
3.0,u152891
3.0,u40703
3.0,u34022
3.0,u114981
3.0,u109905
3.0,u81241
3.0,u153452
3.0,u181046
3.0,u55449
3.0,u191737
3.0,u116725
3.0,u146861
3.0,u151447
3.0,u43931
3.0,u151573
3.0,u55585
3.0,u38036
3.0,u81218
3.0,u289116
3.0,u255545
3.0,u180932
3.0,u109757
3.0,u109840
3.0,u251354
3.0,u239582
3.0,u253795
3.0,u281395
3.0,u296499
3.0,u152491
3.0,u113216
3.0,u113146
3.0,u150437
3.0,u231070
3.0,u17296
3.0,u280683
3.0,u204060
3.0,u275304
3.0,u224641
3.0,u208178
3.0,u189310
3.0,u148947
3.0,u188689
3.0,u182990
3.0,u39560
3.0,u234584
3.0,u43923
3.0,u114809
3.0,u181687
3.0,u235538
3.0,u56807
3.0,u255061
3.0,u188347
3.0,u40696
3.0,u254763
3.0,u230625
3.0,u81888
3.0,u208059
3.0,u113950
3.0,u103584
3.0,u222523
3.0,u55365
3.0,u82379
3.0,u222979
3.0,u39685
3.0,u150927
3.0,u24430
